,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,order_id,product_id,seller_id,price,order_purchase_timestamp,order_delivered_customer_date,order_estimated_delivery_date,payment_type,payment_installments,review_score,product_weight_g,product_category_name_english,seller_zip_code_prefix,seller_state,seller_state.1,total_payment
191,369cf098450e6de108ffa64f68b713a1,68700,capanema,PA,a079628ac8002126e75f86b0f87332e4,0983cd4a5cabf1099659ce461511963c,3d2531eccfbde1d7c8db7a3a12fb267a,99.99,2018-04-24 10:19:45,2018-05-14 19:12:50,2018-05-29 00:00:00,credit_card,3,1,350,health_beauty,31340,MG,MG,152
199,fddb72a192ba056cc6697659e1869841,98770,catuipe,RS,a080255684c6772ec5153e1b847c9240,e94df75b2e9a8b056be0c144a731f55c,5cf13accae3222c70a9cac40818ae839,94.9,2018-08-12 22:57:03,2018-08-20 19:08:25,2018-09-25 00:00:00,credit_card,2,5,625,pet_shop,38700,MG,MG,256
200,fddb72a192ba056cc6697659e1869841,98770,catuipe,RS,a080255684c6772ec5153e1b847c9240,0e314819204e6e8c5f4481cf5e8367a4,609e1a9a6c2539919b8205cf7c4e6ff0,12.9,2018-08-12 22:57:03,2018-08-20 19:08:25,2018-09-25 00:00:00,credit_card,2,5,250,pet_shop,88359,SC,SC,256
207,3074d9559c8da1c065b79c6174c00dd9,13219,jundiai,SP,a08337c882ce2f3733377bc48c5ca3ae,5d6bea33648f018dbb563f3a2fab09f3,1025f0e2d44d7041d6cf58b6550e0bfa,150.0,2018-08-01 22:58:06,2018-08-09 14:34:58,2018-08-14 00:00:00,credit_card,1,5,4000,furniture_decor,3204,SP,SP,1062
208,3074d9559c8da1c065b79c6174c00dd9,13219,jundiai,SP,a08337c882ce2f3733377bc48c5ca3ae,5a75c30c323b0ae56499ef163504648a,1025f0e2d44d7041d6cf58b6550e0bfa,320.0,2018-08-01 22:58:06,2018-08-09 14:34:58,2018-08-14 00:00:00,credit_card,1,5,3750,construction_tools_lights,3204,SP,SP,1062
215,73b78f75df448f01b52aee67c38e1b4d,16071,aracatuba,SP,a08a716f7c4514877f9f907aa11294a9,368c6c730842d78016ad823897a372db,1f50f920176fa81dab994f9023523100,59.0,2017-12-01 14:05:44,2017-12-08 22:57:33,2017-12-26 00:00:00,credit_card,4,5,1650,garden_tools,15025,SP,SP,288
216,73b78f75df448f01b52aee67c38e1b4d,16071,aracatuba,SP,a08a716f7c4514877f9f907aa11294a9,389d119b48cf3043d311335e499d9c6b,1f50f920176fa81dab994f9023523100,59.0,2017-12-01 14:05:44,2017-12-08 22:57:33,2017-12-26 00:00:00,credit_card,4,5,1750,garden_tools,15025,SP,SP,288
223,d4a5e9f19897de65433c9d97bf4b9f8e,4195,sao paulo,SP,a08f93229ff75ba67fbdc36e6ad7c5c7,a02d0123079f4ae96001ba2010d1a2df,1025f0e2d44d7041d6cf58b6550e0bfa,230.0,2018-05-02 01:27:50,2018-05-07 22:08:38,2018-05-16 00:00:00,credit_card,2,5,12000,construction_tools_lights,3204,SP,SP,260
251,53b30ca78efb2b7efcd3f9e461587eb2,30210,belo horizonte,MG,a0ad7865ea22bbaa2f026e3aee583484,90ef6790cfc145cf45f9c476d1f47af0,3d871de0142ce09b7081e2b9d1733cb1,69.0,2017-09-08 23:39:19,2017-09-18 19:21:53,2017-10-02 00:00:00,credit_card,2,5,6100,stationery,13232,SP,SP,406
252,53b30ca78efb2b7efcd3f9e461587eb2,30210,belo horizonte,MG,a0ad7865ea22bbaa2f026e3aee583484,28a652ff04e43c1bc57937a9f8770f9b,3d871de0142ce09b7081e2b9d1733cb1,99.0,2017-09-08 23:39:19,2017-09-18 19:21:53,2017-10-02 00:00:00,credit_card,2,5,7700,stationery,13232,SP,SP,406
255,e7ab0030c1319de2bb06c023737f34bb,4729,sao paulo,SP,a0afddbc8d20cd503b16d30779bb1c04,ce6ffea9f2a71228df7664c52f21450d,fdaaf5bfda82b7b80535610c831b8d09,115.0,2018-04-17 11:00:32,2018-04-23 19:38:43,2018-05-09 00:00:00,credit_card,2,5,200,sports_leisure,15015,SP,SP,512
256,e7ab0030c1319de2bb06c023737f34bb,4729,sao paulo,SP,a0afddbc8d20cd503b16d30779bb1c04,b342efe893c9d54f8cf0fe3424bb6b5a,fdaaf5bfda82b7b80535610c831b8d09,115.0,2018-04-17 11:00:32,2018-04-23 19:38:43,2018-05-09 00:00:00,credit_card,2,5,150,sports_leisure,15015,SP,SP,512
261,1068cc67ce615ce1bdc2636466448f14,94120,gravatai,RS,a0b1ffd30c671f95ed8065ce07d10470,e05f6c9ef4c09b0023547314e07c5d64,7a67c85e85bb2ce8582c35f2203ad736,119.99,2018-04-14 18:14:02,2018-04-24 23:58:37,2018-05-16 00:00:00,credit_card,2,5,1450,cool_stuff,3426,SP,SP,137
262,1068cc67ce615ce1bdc2636466448f14,94120,gravatai,RS,a0b1ffd30c671f95ed8065ce07d10470,e05f6c9ef4c09b0023547314e07c5d64,7a67c85e85bb2ce8582c35f2203ad736,119.99,2018-04-14 18:14:02,2018-04-24 23:58:37,2018-05-16 00:00:00,voucher,1,5,1450,cool_stuff,3426,SP,SP,137
266,13510b0dcd1f956dbdcb358d68615455,38183,araxa,MG,a0b44209913b27635b5d9813244b7f87,a52ed2fb26d435066d6613134afcb439,cfb1a033743668a192316f3c6d1d2671,15.9,2017-11-25 10:49:51,2017-12-15 20:19:22,2017-12-19 00:00:00,credit_card,6,1,220,bed_bath_table,18110,SP,SP,348
267,13510b0dcd1f956dbdcb358d68615455,38183,araxa,MG,a0b44209913b27635b5d9813244b7f87,a3349ee806d1e1e98d582a2aba5cedcd,0be8ff43f22e456b4e0371b2245e4d01,27.9,2017-11-25 10:49:51,2017-12-15 20:19:22,2017-12-19 00:00:00,credit_card,6,1,350,bed_bath_table,4461,SP,SP,348
274,577786ab410d98d13e0a00878cd9e8fa,91030,porto alegre,RS,a0b862a69020ac0160aabd2acb06f8e7,1427b126f61597524866770b05d4eed2,0b90b6df587eb83608a64ea8b390cf07,98.81,2018-05-15 09:31:20,2018-06-04 15:33:11,2018-06-11 00:00:00,credit_card,3,5,200,computers_accessories,87025,PR,PR,468
275,577786ab410d98d13e0a00878cd9e8fa,91030,porto alegre,RS,a0b862a69020ac0160aabd2acb06f8e7,5526b1ae9ab2688cf600783cece249df,0b90b6df587eb83608a64ea8b390cf07,98.44,2018-05-15 09:31:20,2018-06-04 15:33:11,2018-06-11 00:00:00,credit_card,3,5,200,computers_accessories,87025,PR,PR,468
308,67466b5877fad6f2279c1fb634c9aa5c,84045,ponta grossa,PR,a0d3f54307b8ea12232f5036ed0346ce,eab1309765ca0c3ba5c2ae2b85b28b00,c3cfdc648177fdbbbb35635a37472c53,199.9,2017-06-18 21:32:41,2017-06-26 15:16:57,2017-07-11 00:00:00,credit_card,1,5,4463,sports_leisure,80610,PR,PR,217
321,939caa92993d9e0c743a19ef572d0da9,38408,uberlandia,MG,a0ddb810bd79dc15910dcc56a1c7f3cb,f99e92b9472a8d08d27cfc7e98292b42,b1a81260566c1bac3114a6d124413f27,159.9,2018-04-22 13:16:34,2018-04-28 12:06:45,2018-05-25 00:00:00,credit_card,4,5,900,luggage_accessories,99500,RS,RS,183
322,939caa92993d9e0c743a19ef572d0da9,38408,uberlandia,MG,a0ddb810bd79dc15910dcc56a1c7f3cb,f99e92b9472a8d08d27cfc7e98292b42,b1a81260566c1bac3114a6d124413f27,159.9,2018-04-22 13:16:34,2018-04-28 12:06:45,2018-05-25 00:00:00,voucher,1,5,900,luggage_accessories,99500,RS,RS,183
332,276743a9fc79d7269dca763e48a52b3f,9371,maua,SP,a0e1163327a3941a5681a1e948ca7add,85b6cd7f57f7a06d180c93e8c74f6381,1835b56ce799e6a4dc4eddc053f04066,53.5,2018-06-26 22:06:58,2018-06-30 15:24:27,2018-07-18 00:00:00,credit_card,4,5,650,bed_bath_table,14940,SP,SP,270
333,276743a9fc79d7269dca763e48a52b3f,9371,maua,SP,a0e1163327a3941a5681a1e948ca7add,e906fa76a27488f805ba8584a4c10cba,1835b56ce799e6a4dc4eddc053f04066,53.99,2018-06-26 22:06:58,2018-06-30 15:24:27,2018-07-18 00:00:00,credit_card,4,5,650,bed_bath_table,14940,SP,SP,270
334,152682883da7483c8abfba23f6f51c1c,30330,belo horizonte,MG,a0e2544c7da875c21ffe5c1f59a0fc0e,a5887cc02e8b2ee7e724408a38187ac9,813348c996469b40f2e028d5429d3495,33.9,2018-01-12 20:39:18,,2018-02-05 00:00:00,credit_card,1,1,250,housewares,13206,SP,SP,47
335,152682883da7483c8abfba23f6f51c1c,30330,belo horizonte,MG,a0e2544c7da875c21ffe5c1f59a0fc0e,a5887cc02e8b2ee7e724408a38187ac9,813348c996469b40f2e028d5429d3495,33.9,2018-01-12 20:39:18,,2018-02-05 00:00:00,voucher,1,1,250,housewares,13206,SP,SP,47
359,6ec51f2f2b0b40a8b15c0770de8859d1,18103,sorocaba,SP,a0f2abd22194d771e11728852ff988bd,570901670f29d0410c85bbc0b588d23a,d1c281d3ae149232351cd8c8cc885f0d,124.99,2018-03-25 21:05:14,2018-04-03 13:34:23,2018-04-12 00:00:00,voucher,1,5,1750,bed_bath_table,14940,SP,SP,138
360,6ec51f2f2b0b40a8b15c0770de8859d1,18103,sorocaba,SP,a0f2abd22194d771e11728852ff988bd,570901670f29d0410c85bbc0b588d23a,d1c281d3ae149232351cd8c8cc885f0d,124.99,2018-03-25 21:05:14,2018-04-03 13:34:23,2018-04-12 00:00:00,credit_card,1,5,1750,bed_bath_table,14940,SP,SP,138
375,ba1f5ad17265433bf40d142786c2d5fa,37200,lavras,MG,a0f9d2f4fe6a25a06ee6888f635ba456,40cc62bf0cf7aacfd12d865c196baa55,ef506c96320abeedfb894c34db06f478,49.99,2017-07-22 10:57:18,2017-07-27 18:32:44,2017-08-15 00:00:00,credit_card,10,3,250,telephony,3569,SP,SP,220
376,ba1f5ad17265433bf40d142786c2d5fa,37200,lavras,MG,a0f9d2f4fe6a25a06ee6888f635ba456,56d708cb5ce58c2040a3b18a0cb33497,ef506c96320abeedfb894c34db06f478,29.99,2017-07-22 10:57:18,2017-07-27 18:32:44,2017-08-15 00:00:00,credit_card,10,3,250,telephony,3569,SP,SP,220
384,4e911590259ef543b22d13466b5f60e6,90035,porto alegre,RS,a0fd703a1c6a122520246bd8d481e528,b7ebdc826d0220dc16c813b9682d63dd,8cbac7e12637ed9cffa18c7875207478,105.6,2017-05-16 10:29:47,2017-05-23 11:53:44,2017-06-07 00:00:00,voucher,1,5,7200,cool_stuff,89254,SC,SC,126
385,4e911590259ef543b22d13466b5f60e6,90035,porto alegre,RS,a0fd703a1c6a122520246bd8d481e528,b7ebdc826d0220dc16c813b9682d63dd,8cbac7e12637ed9cffa18c7875207478,105.6,2017-05-16 10:29:47,2017-05-23 11:53:44,2017-06-07 00:00:00,credit_card,1,5,7200,cool_stuff,89254,SC,SC,126
427,c71df15d86ebd94212e0eea44f131095,15200,jose bonifacio,SP,a111e0cee7dde2bb68cfb7cd18a8a914,b586bd078d2983fc172740035eb9cd3b,18e694e0e48ed6f7aa3f24aade5fd697,19.99,2018-07-26 16:20:01,2018-07-30 13:51:38,2018-08-10 00:00:00,voucher,1,4,200,health_beauty,13224,SP,SP,32
428,c71df15d86ebd94212e0eea44f131095,15200,jose bonifacio,SP,a111e0cee7dde2bb68cfb7cd18a8a914,b586bd078d2983fc172740035eb9cd3b,18e694e0e48ed6f7aa3f24aade5fd697,19.99,2018-07-26 16:20:01,2018-07-30 13:51:38,2018-08-10 00:00:00,credit_card,1,4,200,health_beauty,13224,SP,SP,32
450,a06d94b5d758fbc36c8f679d98ae1fc5,3951,sao paulo,SP,a11f0312591acf976fd9bf40d6b539db,56c7e8adc8769d3dbc4dd74145c0e83c,85d9eb9ddc5d00ca9336a2219c97bb13,27.9,2018-03-16 23:03:38,2018-04-09 15:13:08,2018-04-12 00:00:00,credit_card,4,5,200,computers_accessories,31255,MG,MG,43
451,a06d94b5d758fbc36c8f679d98ae1fc5,3951,sao paulo,SP,a11f0312591acf976fd9bf40d6b539db,56c7e8adc8769d3dbc4dd74145c0e83c,85d9eb9ddc5d00ca9336a2219c97bb13,27.9,2018-03-16 23:03:38,2018-04-09 15:13:08,2018-04-12 00:00:00,voucher,1,5,200,computers_accessories,31255,MG,MG,43
454,c9b3b24308b1a4587ffa3e60fafc2b1f,11070,santos,SP,a1211febecce5b1f8faf9f5e533bd627,dbb4ce89c8ed5fb6fd901e2e51093179,91f848e9f4be368f4318775aac733370,84.99,2017-03-22 17:12:10,2017-03-30 09:24:05,2017-04-10 00:00:00,boleto,1,5,2200,housewares,3029,SP,SP,99
477,1da09dd64e235e7c2f29a4faff33535c,24020,niteroi,RJ,a129b99db0bdcd92c62d71279de0670c,bb90206fa281c20f0b4c42a2393b54dd,e9bc59e7b60fc3063eb2290deda4cced,195.9,2017-07-20 15:25:14,2017-08-05 13:49:53,2017-08-22 00:00:00,boleto,1,5,875,computers_accessories,87083,PR,PR,3436
490,ae4b37b37bb22e37fe34ada808837207,70716,brasilia,DF,a13562e9c4b0eb8e6ae0946073b213f8,5a41b34fa72eb9c57130a1e6265b344a,d03698c2efd04a549382afa6623e27fb,404.88,2017-06-14 13:59:35,2017-06-23 11:22:15,2017-07-13 00:00:00,boleto,1,1,400,computers_accessories,45658,BA,BA,3286
491,ae4b37b37bb22e37fe34ada808837207,70716,brasilia,DF,a13562e9c4b0eb8e6ae0946073b213f8,18e41d0c2a7cac6a8d53d3fcc13da3c4,2b3e4a2a3ea8e01938cabda2a3e5cc79,1180.95,2017-06-14 13:59:35,2017-06-23 11:22:15,2017-07-13 00:00:00,boleto,1,1,1825,computers_accessories,4733,SP,SP,3286
492,cc44d1f72587f44e3af25f68f1db8cd2,45848,itabela,BA,a13566e1ef3931ee9fc63bc9903446bb,22f49044bc3eaead7cadfb045391582f,4a3ca9315b744ce9f8e9374361493884,89.9,2018-07-09 15:47:59,2018-07-24 09:14:35,2018-08-01 00:00:00,credit_card,1,5,1050,bed_bath_table,14940,SP,SP,113
505,02ce431b0797023384d47edad5dd7284,4438,sao paulo,SP,a13dad9bac2076b14880117ef9c12002,893b9464c6ab7f700148fe9db838b6b4,55bb6fe5bebe5012e2d7d9928e1128ff,97.07,2018-01-27 19:42:48,2018-02-06 23:58:42,2018-02-20 00:00:00,credit_card,1,5,3550,stationery,17052,SP,SP,130
506,02ce431b0797023384d47edad5dd7284,4438,sao paulo,SP,a13dad9bac2076b14880117ef9c12002,893b9464c6ab7f700148fe9db838b6b4,55bb6fe5bebe5012e2d7d9928e1128ff,97.07,2018-01-27 19:42:48,2018-02-06 23:58:42,2018-02-20 00:00:00,voucher,1,5,3550,stationery,17052,SP,SP,130
534,f077f1785fb4a5beb0425b5e90f233d5,9931,diadema,SP,a150844c1dfa605f925885746f98fe55,99a4788cb24856965c36a24e339b6058,4a3ca9315b744ce9f8e9374361493884,89.9,2017-10-22 13:20:33,2017-10-30 14:53:22,2017-11-09 00:00:00,voucher,1,4,1383,bed_bath_table,14940,SP,SP,104
535,f077f1785fb4a5beb0425b5e90f233d5,9931,diadema,SP,a150844c1dfa605f925885746f98fe55,99a4788cb24856965c36a24e339b6058,4a3ca9315b744ce9f8e9374361493884,89.9,2017-10-22 13:20:33,2017-10-30 14:53:22,2017-11-09 00:00:00,credit_card,1,4,1383,bed_bath_table,14940,SP,SP,104
565,fc6c93980264a3d9e80e62abadf2e6b1,95670,gramado,RS,a162843206c281a243d96c3040e7e08a,7b83c11ac78f11bde67542beb12e8163,431af27f296bc6519d890aa5a05fdb11,49.9,2017-04-26 18:11:15,2017-05-12 13:13:39,2017-06-06 00:00:00,credit_card,10,5,350,health_beauty,14110,SP,SP,268
566,fc6c93980264a3d9e80e62abadf2e6b1,95670,gramado,RS,a162843206c281a243d96c3040e7e08a,fcf19b6b1ff4a17bcd6ca9675b58aa6f,431af27f296bc6519d890aa5a05fdb11,49.9,2017-04-26 18:11:15,2017-05-12 13:13:39,2017-06-06 00:00:00,credit_card,10,5,725,health_beauty,14110,SP,SP,268
573,2ca24754bdb45e98b2e06a59f513e68c,13825,holambra,SP,a16ba3cb9eadcd233262e7dcabd63592,946344697156947d846d27fe0d503033,1835b56ce799e6a4dc4eddc053f04066,29.99,2018-01-24 15:54:37,2018-01-31 11:41:36,2018-02-16 00:00:00,credit_card,2,5,500,bed_bath_table,14940,SP,SP,166
574,2ca24754bdb45e98b2e06a59f513e68c,13825,holambra,SP,a16ba3cb9eadcd233262e7dcabd63592,ad0a798e7941f3a5a2fb8139cb62ad78,1835b56ce799e6a4dc4eddc053f04066,29.99,2018-01-24 15:54:37,2018-01-31 11:41:36,2018-02-16 00:00:00,credit_card,2,5,600,bed_bath_table,14940,SP,SP,166
595,e016365b624d1755f3e2d0e8f1631ebb,68530,rio maria,PA,a17af8e6044c5ccaa87b1d97559dc554,7c1bd920dbdf22470b68bde975dd3ccf,cc419e0650a3c5ba77189a1882b7556a,58.99,2018-02-16 17:59:44,2018-03-09 23:51:33,2018-03-28 00:00:00,credit_card,1,5,200,health_beauty,9015,SP,SP,174
596,e016365b624d1755f3e2d0e8f1631ebb,68530,rio maria,PA,a17af8e6044c5ccaa87b1d97559dc554,7c1bd920dbdf22470b68bde975dd3ccf,cc419e0650a3c5ba77189a1882b7556a,58.99,2018-02-16 17:59:44,2018-03-09 23:51:33,2018-03-28 00:00:00,credit_card,1,1,200,health_beauty,9015,SP,SP,174
621,5334612ff6f9f1ee518ecf5a8b2d9efc,79017,campo grande,MS,a18986d0ee0fd3e2c6fe3fdd23ca31ca,5fc3e6a4b52b0c414458104ed4037f1c,229c3efbfb0ea2058de4ccdfbc3d784a,89.0,2017-05-04 10:39:26,2017-05-12 13:49:50,2017-05-31 00:00:00,credit_card,3,5,200,computers_accessories,30190,MG,MG,434
622,5334612ff6f9f1ee518ecf5a8b2d9efc,79017,campo grande,MS,a18986d0ee0fd3e2c6fe3fdd23ca31ca,5d790355cbeded0cd60e25cbc4c527a2,229c3efbfb0ea2058de4ccdfbc3d784a,97.0,2017-05-04 10:39:26,2017-05-12 13:49:50,2017-05-31 00:00:00,credit_card,3,5,115,computers_accessories,30190,MG,MG,434
632,f7f7c86a6751896d012ebbe10e3fc6f3,13567,sao carlos,SP,a19276c07c1ec9208f52e764a44acaa7,9e10ae46a3021a02f1692448ef9fa1db,94144541854e298c2d976cb893b81343,34.9,2017-11-29 08:37:46,2017-12-13 18:53:11,2017-12-29 00:00:00,boleto,1,5,175,health_beauty,94451,RS,RS,50
666,8d50f5eadf50201ccdcedfb9e2ac8455,4045,sao paulo,SP,a1a6eadae352582010f449d8527b55f3,426f910ccd39ae5e7d55013c466fe343,0691148aee60ca47977c187804f935ae,72.9,2018-08-18 12:39:19,2018-08-24 17:26:42,2018-09-03 00:00:00,credit_card,2,5,350,sports_leisure,86010,PR,PR,96
676,016c60628fc64e15fa5990e58a0b57c1,18550,boituva,SP,a1abeb653a4d4cd1e142ccb8c82cd069,b9311d581f5f341576a5a2892168355c,ec4608a1f76453166bb312b2968aeaf4,29.9,2017-07-20 11:20:52,2017-07-25 19:32:56,2017-08-14 00:00:00,boleto,1,3,10250,furniture_decor,13660,SP,SP,912
677,016c60628fc64e15fa5990e58a0b57c1,18550,boituva,SP,a1abeb653a4d4cd1e142ccb8c82cd069,b114bf337c0626166abe574eee9e3f32,7c67e1448b00f6e969d365cea6b010ab,169.94,2017-07-20 11:20:52,2017-07-25 19:32:56,2017-08-14 00:00:00,boleto,1,3,13350,office_furniture,8577,SP,SP,912
679,5a868d74b4b972b5a132c20e67bc4cee,68633,dom eliseu,PA,a1ad04708ac63bf780235612020e647e,1c5bd6a742367ec4d654a0859523e880,1f9ab4708f3056ede07124aad39a2554,119.9,2017-04-30 18:48:05,2017-05-23 05:12:03,2017-06-06 00:00:00,voucher,1,5,4550,baby,17602,SP,SP,160
680,5a868d74b4b972b5a132c20e67bc4cee,68633,dom eliseu,PA,a1ad04708ac63bf780235612020e647e,1c5bd6a742367ec4d654a0859523e880,1f9ab4708f3056ede07124aad39a2554,119.9,2017-04-30 18:48:05,2017-05-23 05:12:03,2017-06-06 00:00:00,credit_card,3,5,4550,baby,17602,SP,SP,160
682,dc7329494bcf58a353c1fece65a73aef,30110,belo horizonte,MG,a1ad76f125118edcc2ba7035e9a59c7c,b688ed97b957462c2510812cbfe7e6d8,fac1a9017ade7bdc94058fc1c969f355,287.0,2018-08-06 09:45:21,2018-08-13 21:14:33,2018-08-17 00:00:00,credit_card,1,5,1350,computers_accessories,1126,SP,SP,310
683,dc7329494bcf58a353c1fece65a73aef,30110,belo horizonte,MG,a1ad76f125118edcc2ba7035e9a59c7c,b688ed97b957462c2510812cbfe7e6d8,fac1a9017ade7bdc94058fc1c969f355,287.0,2018-08-06 09:45:21,2018-08-13 21:14:33,2018-08-17 00:00:00,voucher,1,5,1350,computers_accessories,1126,SP,SP,310
